tcgplayer_id,directLow,market,low,mid
10182 (Foil),,60.0,46.75,47.94
15574 (Nonfoil),9.6,11.81,6.73,10.96
15574 (Foil),25.93,29.9,25.93,32.58
32725 (Nonfoil),,4.89,4.56,5.91
32725 (Foil),,15.13,15.91,23.0
35657 (Nonfoil),2.25,2.95,1.23,3.76
35657 (Foil),17.48,21.95,14.99,21.85
17997 (Nonfoil),7.09,9.39,6.77,10.15
17997 (Foil),,42.35,42.23,58.97
39420 (Nonfoil),,3.75,2.5,4.99
39420 (Foil),6.07,5.8,4.99,7.99
9301 (Nonfoil),,9.66,6.93,9.21
9301 (Foil),,63.65,40.0,62.0
10318 (Nonfoil),,5.71,4.49,8.86
10318 (Foil),,39.21,27.78,40.12
194029 (Nonfoil),,,,
194029 (Foil),,11.8,7.75,11.17
183998 (Nonfoil),,,,
183998 (Foil),2.47,1.64,1.0,2.5
177466 (Nonfoil),,,,
177466 (Foil),1.49,1.4,0.84,1.52
95615 (Nonfoil),,,,
95615 (Foil),,8.26,5.27,6.57
194027 (Nonfoil),,,,
194027 (Foil),6.34,6.15,5.75,6.79
120755 (Nonfoil),,,,
120755 (Foil),,15.5,11.01,15.07
194051 (Foil),,4.44,2.98,4.19
194051 (Nonfoil),,,,
165570 (Nonfoil),,,,
165570 (Foil),,16.29,12.61,19.19
189494 (Nonfoil),,,,
189494 (Foil),8.93,8.72,7.25,8.95
189464 (Nonfoil),,,,
189464 (Foil),,9.87,7.93,10.73
34727 (Nonfoil),,28.76,22.91,26.82
34727 (Foil),,76.16,71.03,80.64
12487 (Nonfoil),,18.54,16.75,19.0
12487 (Foil),,40.6,33.99,41.2
12522 (Nonfoil),,4.89,2.95,4.98
12522 (Foil),,33.2,28.99,36.04
10829 (Nonfoil),,20.89,16.0,20.24
10829 (Foil),,50.01,53.71,73.99
5362 (Nonfoil),,8.16,5.79,9.49
5362 (Foil),,,,
5333 (Nonfoil),26.59,31.2,23.99,34.97
5333 (Foil),,,,
5620 (Nonfoil),13.99,9.89,7.99,10.87
5620 (Foil),,,,
3541 (Nonfoil),15.0,18.91,14.79,20.67
3541 (Foil),,,,
6232 (Nonfoil),99.99,90.42,101.84,120.0
6232 (Foil),,329.99,284.99,349.99
6215 (Nonfoil),9.19,15.62,8.77,20.0
